#,Question,Correct Answer,Distractor 1,Distractor 2,Distractor 3
1,What is the most abundant gas in Earth’s atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Argon
2,What layer of Earth lies directly beneath the crust?,Mantle,Inner Core,Outer Core,Lithosphere
3,What causes earthquakes?,Tectonic plate movement,Weather patterns,Ocean currents,Volcanic ash clouds
4,Which type of rock forms from cooled lava?,Igneous,Sedimentary,Metamorphic,Fossiliferous
5,What scale is used to measure earthquake magnitude?,Richter Scale,Fujita Scale,Saffir-Simpson Scale,Beaufort Scale
6,Which natural resource is a fossil fuel?,Coal,Copper,Granite,Limestone
7,What is the process of breaking down rocks into smaller pieces?,Weathering,Condensation,Deposition,Erosion
8,What is the hardest mineral on the Mohs hardness scale?,Diamond,Quartz,Topaz,Corundum
9,What type of rock forms from heat and pressure?,Metamorphic,Igneous,Sedimentary,Volcanic
10,What is Earth’s outermost solid layer called?,Crust,Mantle,Lithosphere,Outer Core
11,What is the process of water moving from Earth’s surface to the atmosphere?,Evaporation,Precipitation,Infiltration,Condensation
12,What mineral is green and commonly found in sand?,Olivine,Feldspar,Calcite,Gypsum
13,What is the largest freshwater lake in the world by surface area?,Lake Superior,Lake Victoria,Lake Baikal,Lake Tanganyika
14,What do we call a scientist who studies earthquakes?,Seismologist,Meteorologist,Volcanologist,Geographer
15,What type of rock is formed from sediments compacted over time?,Sedimentary,Igneous,Metamorphic,Obsidian
16,What layer of Earth is liquid and generates Earth’s magnetic field?,Outer Core,Mantle,Inner Core,Crust
17,Which gas causes acid rain when combined with water in the atmosphere?,Sulfur Dioxide,Carbon Monoxide,Nitrogen,Oxygen
18,What is the boundary where two tectonic plates collide called?,Convergent Boundary,Divergent Boundary,Transform Boundary,Rift Zone
19,Which type of soil particle is the smallest?,Clay,Sand,Silt,Gravel
20,What scale is used to measure tornado intensity?,Fujita Scale,Beaufort Scale,Richter Scale,Volcanic Explosivity Index
21,What part of a plant cell carries out photosynthesis?,Chloroplast,Nucleus,Ribosome,Mitochondrion
22,What is the powerhouse of the cell?,Mitochondrion,Nucleus,Ribosome,Lysosome
23,What is the green pigment that plants use to capture sunlight?,Chlorophyll,Hemoglobin,Melanin,Keratin
24,Which human body system includes the heart and blood vessels?,Circulatory System,Respiratory System,Nervous System,Digestive System
25,What organ pumps blood through the body?,Heart,Lung,Kidney,Brain
26,What is the largest organ in the human body?,Skin,Liver,Lungs,Stomach
27,What gas do humans exhale as waste?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen
28,What is the basic unit of life?,Cell,Atom,Molecule,Tissue
29,What part of the cell contains genetic material (DNA)?,Nucleus,Cytoplasm,Cell Membrane,Vacuole
30,What group of vertebrates lays eggs and has feathers?,Birds,Mammals,Amphibians,Reptiles
31,What is the main function of red blood cells?,Carry oxygen,Fight infections,Digest food,Transmit signals
32,Which human organ is responsible for filtering blood?,Kidney,Pancreas,Stomach,Intestine
33,What do we call animals that eat only plants?,Herbivores,Carnivores,Omnivores,Decomposers
34,What is the process by which plants make their own food?,Photosynthesis,Respiration,Fermentation,Transpiration
35,What part of the flower produces pollen?,Anther,Stigma,Sepal,Petal
36,Which organ in the body produces insulin?,Pancreas,Liver,Stomach,Kidney
37,What is the largest mammal in the world?,Blue Whale,Elephant,Giraffe,Orca
38,What is the process of a caterpillar becoming a butterfly?,Metamorphosis,Mitosis,Photosynthesis,Germination
39,What type of blood cells fight disease and infection?,White Blood Cells,Red Blood Cells,Platelets,Plasma Cells
40,Which organelle is responsible for protein synthesis in cells?,Ribosome,Nucleus,Chloroplast,Mitochondrion
41,What is the smallest unit of matter?,Atom,Molecule,Cell,Proton
42,What is the center of an atom called?,Nucleus,Proton,Electron Cloud,Neutron
43,Which subatomic particle has a positive charge?,Proton,Neutron,Electron,Isotope
44,Which state of matter has a definite shape and volume?,Solid,Liquid,Gas,Plasma
45,What unit is used to measure force?,Newton,Watt,Joule,Gram
